"Module","Méthode","Route","Controller@Method","Description"
"Auth","POST","/v1/auth/register","AuthController@register","Inscription"
"","POST","/v1/auth/login","AuthController@login","Connexion"
"","POST","/v1/auth/logout","AuthController@logout","Déconnexion"
"","GET","/v1/auth/me","AuthController@me","Profil actuel"
"","POST","/v1/auth/change-password","AuthController@changePassword","Changer mot de passe"
"Users","GET","/v1/users","UserController@index","Lister utilisateurs"
"","GET","/v1/users/{user}","UserController@show","Détail utilisateur"
"","PATCH","/v1/users/{user}/status","UserController@updateStatus","Changer statut"
"Students","GET","/v1/students","StudentController@index","Lister élèves"
"","POST","/v1/students","StudentController@store","Créer élève"
"","GET","/v1/students/{student}","StudentController@show","Détail élève"
"","PATCH","/v1/students/{student}","StudentController@update","Modifier élève"
"","DELETE","/v1/students/{student}","StudentController@destroy","Supprimer élève"
"","POST","/v1/students/{student}/parents","StudentController@attachParent","Ajouter parent"
"","DELETE","/v1/students/{student}/parents","StudentController@detachParent","Retirer parent"
"Parents","GET","/v1/parents","ParentController@index","Lister parents"
"","POST","/v1/parents","ParentController@store","Créer parent"
"","GET","/v1/parents/{parent}","ParentController@show","Détail parent"
"","PATCH","/v1/parents/{parent}","ParentController@update","Modifier parent"
"","DELETE","/v1/parents/{parent}","ParentController@destroy","Supprimer parent"
"Classes","GET","/v1/classes","ClassController@index","Lister classes"
"","POST","/v1/classes","ClassController@store","Créer classe"
"","GET","/v1/classes/{class}","ClassController@show","Détail classe"
"","PATCH","/v1/classes/{class}","ClassController@update","Modifier classe"
"","DELETE","/v1/classes/{class}","ClassController@destroy","Supprimer classe"
"","GET","/v1/classes/{class}/students","ClassController@students","Élèves de la classe"
"Subjects","GET","/v1/subjects","SubjectController@index","Lister matières"
"","POST","/v1/subjects","SubjectController@store","Créer matière"
"","GET","/v1/subjects/{subject}","SubjectController@show","Détail matière"
"","PATCH","/v1/subjects/{subject}","SubjectController@update","Modifier matière"
"","DELETE","/v1/subjects/{subject}","SubjectController@destroy","Supprimer matière"
"Enrollments","GET","/v1/enrollments","EnrollmentController@index","Lister inscriptions"
"","POST","/v1/enrollments","EnrollmentController@store","Créer inscription"
"","GET","/v1/enrollments/{enrollment}","EnrollmentController@show","Détail inscription"
"","DELETE","/v1/enrollments/{enrollment}","EnrollmentController@destroy","Supprimer inscription"
"","POST","/v1/enrollments/{enrollment}/pay-tuition","EnrollmentController@payTuition","Payer frais"
"TimeTables","GET","/v1/timetables","TimeTableController@index","Lister emploi du temps"
"","POST","/v1/timetables","TimeTableController@store","Créer créneau"
"","GET","/v1/timetables/{timetable}","TimeTableController@show","Détail créneau"
"","PATCH","/v1/timetables/{timetable}","TimeTableController@update","Modifier créneau"
"","DELETE","/v1/timetables/{timetable}","TimeTableController@destroy","Supprimer créneau"
"","GET","/v1/timetables/by-class/schedule","TimeTableController@byClass","Emploi du temps par classe"
"Absences","GET","/v1/absences","AbsenceController@index","Lister absences"
"","POST","/v1/absences","AbsenceController@store","Enregistrer absence"
"","GET","/v1/absences/{absence}","AbsenceController@show","Détail absence"
"","DELETE","/v1/absences/{absence}","AbsenceController@destroy","Supprimer absence"
"","PATCH","/v1/absences/{absence}/justify","AbsenceController@justify","Justifier absence"
"","GET","/v1/absences/student/report","AbsenceController@studentReport","Rapport absences élève"
"Grades","GET","/v1/grades","GradeController@index","Lister notes"
"","POST","/v1/grades","GradeController@store","Créer note"
"","GET","/v1/grades/{grade}","GradeController@show","Détail note"
"","PATCH","/v1/grades/{grade}","GradeController@update","Modifier note"
"","DELETE","/v1/grades/{grade}","GradeController@destroy","Supprimer note"
"","GET","/v1/grades/student/average","GradeController@studentAverage","Moyenne élève"
"","GET","/v1/grades/student/bulletin","GradeController@bulletin","Bulletin élève"
"Messages","GET","/v1/messages","MessageController@index","Recevoir messages"
"","POST","/v1/messages","MessageController@store","Envoyer message"
"","GET","/v1/messages/{message}","MessageController@show","Lire message"
"","DELETE","/v1/messages/{message}","MessageController@destroy","Supprimer message"
"","GET","/v1/messages/sent/list","MessageController@sent","Messages envoyés"
"","PATCH","/v1/messages/{message}/read","MessageController@markAsRead","Marquer comme lu"
"","GET","/v1/messages/unread/count","MessageController@unreadCount","Compter non lus"
"Invoices","GET","/v1/invoices","InvoiceController@index","Lister factures"
"","POST","/v1/invoices","InvoiceController@store","Créer facture"
"","GET","/v1/invoices/{invoice}","InvoiceController@show","Détail facture"
"","DELETE","/v1/invoices/{invoice}","InvoiceController@destroy","Supprimer facture"
"","POST","/v1/invoices/{invoice}/pay","InvoiceController@pay","Payer facture"
"","GET","/v1/invoices/student/report","InvoiceController@studentReport","Rapport finances élève"
"Cantine","GET","/v1/cantine/menus","CantineController@indexMenus","Lister menus"
"","POST","/v1/cantine/menus","CantineController@storeMenu","Créer menu"
"","GET","/v1/cantine/menus/{menu}","CantineController@showMenu","Détail menu"
"","PATCH","/v1/cantine/menus/{menu}","CantineController@updateMenu","Modifier menu"
"","DELETE","/v1/cantine/menus/{menu}","CantineController@destroyMenu","Supprimer menu"
"","GET","/v1/cantine/registrations","CantineController@indexRegistrations","Lister inscriptions"
"","POST","/v1/cantine/registrations","CantineController@storeRegistration","S'inscrire cantine"
"","DELETE","/v1/cantine/registrations/{reg}/cancel","CantineController@cancelRegistration","Annuler inscription"
"Transport","GET","/v1/transport/lines","TransportController@indexLines","Lister lignes"
"","POST","/v1/transport/lines","TransportController@storeLine","Créer ligne"
"","GET","/v1/transport/lines/{line}","TransportController@showLine","Détail ligne"
"","PATCH","/v1/transport/lines/{line}","TransportController@updateLine","Modifier ligne"
"","DELETE","/v1/transport/lines/{line}","TransportController@destroyLine","Supprimer ligne"
"","GET","/v1/transport/registrations","TransportController@indexRegistrations","Lister inscriptions"
"","POST","/v1/transport/registrations","TransportController@storeRegistration","S'inscrire transport"
"","DELETE","/v1/transport/registrations/{reg}/cancel","TransportController@cancelRegistration","Annuler inscription"
"Discipline","GET","/v1/discipline","DisciplineController@index","Lister dossiers"
"","POST","/v1/discipline","DisciplineController@store","Créer dossier"
"","GET","/v1/discipline/{record}","DisciplineController@show","Détail dossier"
"","DELETE","/v1/discipline/{record}","DisciplineController@destroy","Supprimer dossier"
"","GET","/v1/discipline/student/report","DisciplineController@studentReport","Rapport discipline élève"
